Name,Desc,Part #,Status,Notes,URL,
akita,Sharp SL-C1000 (Akita) PDA (PXA270),,REJECT,Digikey says obsolete,,
ast2500-evb,Aspeed AST2500 EVB (ARM1176),,,Raspberry Pi,,
borzoi,Sharp SL-C3100 (Borzoi) PDA (PXA270),,REJECT,Obsolete?,,
canon-a1100,Canon PowerShot A1100 IS,,,Can’t find on digikey,,
cheetah,Palm Tungsten|E aka. Cheetah PDA (OMAP310),OMAP310,,Can’t find on digikey,,
collie,Sharp SL-5500 (Collie) PDA (SA-1110),SA-1110,,Can’t find on digikey,,
connex,Gumstix Connex (PXA255),PXA255,,,,
cubieboard,cubietech cubieboard,,REJECT,Too large,http://www.cubietech.com/product-detail/cubieboard5/,
highbank,Calxeda Highbank (ECX-1000),ECX-1000,REJECT,Too powerful,https://www.vecow.com/dispPageBox/vecow/VecowCP.aspx?ddsPageID=ECX-1000_EN,
imx25-pdk,ARM i.MX25 PDK board (ARM926),ARM926,REJECT,Obsolete?,https://www.digikey.com/en/products/filter/embedded/microcontrollers/685?s=N4IgTCBcDaIIICUCyBOMA2EBdANCTkoAlgCZQgC0AjAAxUh4AOALuQyAI7MCe5ArOx6MApuQCGAZwDGIAL6ygA,
integratorcp,ARM Integrator/CP (ARM926EJ-S),ARM926EJ-S,REJECT,Obsolete?,https://www.digikey.com/en/products/filter/embedded/microcontrollers/685?s=N4IgTCBcDaIIICUCyBOMA2AogKQLQGUQBdAGhHSlAEsATKEXARgAZGQyAHAF3vZAEcuAT3oBWPsI4BTegEMAzgGMQAXxVA,
kzm,ARM KZM Emulation Baseboard (ARM1136),ARM1136,Maybe,Seems a bit overkill, but could work? (~500MHz),https://www.digikey.com/en/products/detail/nxp-usa-inc/MCIMX351AJQ5C/2257656
lm3s6965evb,Stellaris LM3S6965EVB,lm3s6965evb,REJECT,Obsolete?,https://www.ti.com/product/LM3S6965,
lm3s811evb,Stellaris LM3S811EVB,lm3s811evb,REJECT,Obsolete?,https://www.ti.com/product/LM3S811,
mainstone,Mainstone II (PXA27x),PXA27x,?,,,
midway,Calxeda Midway (ECX-2000),ECX-2000,?,,,
musicpal,Marvell 88w8618 / MusicPal (ARM926EJ-S),ARM926EJ-S,REJECT,Obsolete?,https://www.digikey.com/en/products/filter/embedded/microcontrollers/685?s=N4IgTCBcDaIIICUCyBOMA2AogKQLQGUQBdAXyA,
n800,Nokia N800 tablet aka. RX-34 (OMAP2420),OMAP2420,REJECT,Obsolete? Copyright 2005!,https://www.ti.com/pdfs/wtbu/TI_omap2420.pdf,
n810,Nokia N810 tablet aka. RX-44 (OMAP2420),OMAP2420,REJECT,Obsolete? Copyright 2005!,https://www.ti.com/pdfs/wtbu/TI_omap2420.pdf,
netduino2,Netduino 2 Machine,netduino2,Yes?,,https://developer.wildernesslabs.co/Hardware/Reference/Meadow_Hardware/Meadow_F7/,
nuri,Samsung NURI board (Exynos4210),Exynos4210,,,,
palmetto-bmc,OpenPOWER Palmetto BMC (ARM926EJ-S),ARM926EJ-S,,,,
raspi2,Raspberry Pi 2,raspi2,,,,
realview-eb,ARM RealView Emulation Baseboard (ARM926EJ-S),ARM926EJ-S,,,,
realview-eb-mpcore,ARM RealView Emulation Baseboard (ARM11MPCore),ARM11MPCore,,,,
realview-pb-a8,ARM RealView Platform Baseboard for Cortex-A8,realview-pb-a8,,,,
realview-pbx-a9,ARM RealView Platform Baseboard Explore for Cortex-A9,realview-pbx-a9,,,,
sabrelite,Freescale i.MX6 Quad SABRE Lite Board (Cortex A9),Cortex A9,,,,
smdkc210,Samsung SMDKC210 board (Exynos4210),Exynos4210,,,,
spitz,Sharp SL-C3000 (Spitz) PDA (PXA270),Spitz,,,,
sx1,Siemens SX1 (OMAP310) V2,OMAP310,,,,
sx1-v1,Siemens SX1 (OMAP310) V1,OMAP310,,,,
terrier,Sharp SL-C3200 (Terrier) PDA (PXA270),Terrier,,,,
tosa,Sharp SL-6000 (Tosa) PDA (PXA255),Tosa,,,,
verdex,Gumstix Verdex (PXA270),PXA270,,,,
versatileab,ARM Versatile/AB (ARM926EJ-S),ARM926EJ-S,,,,
versatilepb,ARM Versatile/PB (ARM926EJ-S),ARM926EJ-S,,,,
vexpress-a15,ARM Versatile Express for Cortex-A15,vexpress-a15,,,,
vexpress-a9,ARM Versatile Express for Cortex-A9,vexpress-a9,,,,
xilinx-zynq-a9,Xilinx Zynq Platform Baseboard for Cortex-A9,xilinx-zynq-a9,,,,
z2,Zipit Z2 (PXA27x),PXA27x,,,,
TM4C123GH6PM,,TM4C123GH6PM,LGTM?,,https://www.ti.com/product/TM4C123GH6PM,
arduino maker zero,,mkr-zero,Yes.,,https://docs.arduino.cc/hardware/mkr-zero/#tech-specs,
,,,Even better?,,https://docs.arduino.cc/hardware/nano-esp32/#tech-specs,
